date,time,team,name,card,type
2024-11-19,12:50:26,Green,Paul,5♦,Assist
2024-11-19,12:55:11,Green,Larah,4♦,Assist
2024-11-19,12:56:47,Green,Paul,4♣,Assist
2024-11-19,12:58:28,Blue,Mel,6♠,Assist
2024-11-19,13:02:47,Green,Daniel,6♦,Assist
2024-11-19,13:05:10,Blue,Brian,5♣,Assist
2024-11-18,12:16:29,Blue,Brian,10♣,Assist
2024-11-18,12:16:41,Green,Maya,A♣,Assist
2024-11-18,12:20:30,Blue,Kenji,A♦,Assist
2024-11-18,12:25:51,Blue,Mel,8♣,Assist
2024-11-18,12:32:58,Green,Nishant,3♣,Assist
2024-11-18,12:45:04,Red,Maya,2♥,Assist
2024-11-18,12:52:49,Green,Brian,3♦,Assist
2024-11-18,13:06:11,Red,Maya,4♥,Assist
2024-11-13,12:20:13,Blue,Behring,5♥,Assist
2024-11-13,12:21:20,Blue,Behring,2♣,Assist
2024-11-13,12:29:39,Blue,Paul,2♠,Assist
2024-11-13,12:30:17,Green,Daniel,3♣,Assist
2024-11-13,12:32:34,Green,Maya,6♣,Assist
2024-11-13,12:39:35,Blue,Paul,10♣,Assist
2024-11-13,12:40:00,Green,Daniel,5♥,Assist
2024-11-13,12:42:36,Blue,Paul,A♥,Assist
2024-11-13,12:49:00,Blue,Nishant,J♦,Assist
2024-11-13,12:51:04,Green,Maya,K♦,Assist
2024-11-13,12:53:39,Green,Kenji,4♦,Assist
2024-11-13,12:59:05,Blue,Behring,A♠,Assist
2024-11-13,13:05:52,Blue,Behring,8♥,Assist
2024-11-12,12:15:51,Blue,Howard,8♦,Assist
2024-11-12,12:16:55,Blue,Kenji,J♠,Assist
2024-11-12,12:23:51,Red,Maya,3♣,Assist
2024-11-12,12:28:57,Blue,Howard,6♠,Assist
2024-11-12,12:35:52,Green,Kenji,4♥,Assist
2024-11-12,12:39:58,Green,Kenji,10♠,Assist
2024-11-12,12:42:55,Blue,Mel,4♠,Assist
2024-11-12,12:51:03,Blue,Paul,10♥,Assist
2024-11-12,12:57:39,Blue,Mel,4♠,Assist
2024-11-11,12:16:09,Green,Mel,Q♥,Assist
2024-11-11,12:19:32,Green,Larah,8♥,Assist
2024-11-11,12:25:54,Green,Behring,9♦,Assist
2024-11-11,12:27:13,Green,Mel,A♣,Assist
2024-11-11,12:34:45,Blue,Maya,2♦,Assist
2024-11-11,12:37:33,Blue,Howard,8♥,Assist
2024-11-11,12:42:11,Blue,Howard,2♥,Assist
2024-11-11,12:47:34,Blue,Maya,3♠,Assist
2024-11-11,12:51:56,Green,Mel,8♦,Assist
2024-11-11,12:58:39,Blue,Howard,10♣,Assist
2024-11-11,12:59:20,Green,Nishant,7♦,Assist
2024-11-06,12:18:32,Green,Howard,7♥,Assist
2024-11-06,12:20:47,Green,Brian,5♣,Assist
2024-11-06,12:23:43,Green,Jaemo,7♥,Assist
2024-11-06,12:24:30,Blue,Daniel,Q♣,Assist
2024-11-06,12:26:24,Blue,Nishant,7♠,Assist
2024-11-06,12:32:19,Blue,Behring,7♣,Assist
2024-11-06,12:38:51,Green,Brian,Q♣,Assist
2024-11-06,12:40:36,Green,Howard,K♥,Assist
2024-11-06,12:46:09,Blue,Larah,3♠,Assist
2024-11-06,12:51:19,Green,Howard,2♠,Assist
2024-11-06,12:52:23,Green,Mel,Q♦,Assist
2024-11-06,12:56:45,Blue,Larah,4♠,Assist
2024-11-06,12:57:42,Blue,Behring,2♦,Assist
2024-11-05,12:05:53,Green,Mel,A♦,Assist
2024-11-05,12:11:16,Blue,Behring,2♠,Assist
2024-11-05,12:12:13,Green,Paul,5♠,Assist
2024-11-05,12:15:35,Blue,Nishant,2♣,Assist
2024-11-05,12:23:32,Green,Howard,2♠,Assist
2024-11-05,12:24:11,Green,Howard,10♥,Assist
2024-11-05,12:34:12,Green,Maya,K♣,Assist
2024-11-05,12:35:02,Blue,Larah,7♦,Assist
2024-11-05,12:35:21,Blue,Kenji,2♥,Assist
2024-11-05,12:40:16,Blue,Behring,8♦,Assist
2024-11-05,12:43:57,Green,Howard,7♣,Assist
2024-11-05,12:46:04,Green,Mel,Q♦,Assist
2024-11-05,12:49:42,Blue,Larah,2♦,Assist
2024-11-05,12:53:40,Blue,Behring,Q♦,Assist
2024-11-05,12:57:48,Green,Howard,10♦,Assist
2024-11-05,12:59:55,Green,Maya,8♥,Assist
2024-11-04,12:18:43,Red,Kenji,J♥,Assist
2024-11-04,12:32:22,Blue,Daniel,J♣,Assist
2024-11-04,12:38:13,Red,Russel,8♥,Assist
2024-11-04,12:47:23,Blue,Maya,J♦,Assist
2024-11-04,12:57:56,Red,Kenji,3♣,Assist
2024-10-30,12:23:38,Blue,Daniel,Q♣,Assist
2024-10-30,12:26:22,Blue,Larah,3♣,Assist
2024-10-30,12:26:36,Green,Maya,5♣,Assist
2024-10-30,12:34:47,Blue,Paul,Q♣,Assist
2024-10-30,12:43:34,Green,Howard,3♥,Assist
2024-10-30,12:44:23,Blue,Daniel,A♣,Assist
2024-10-30,12:47:05,Green,Kenji,J♥,Assist
2024-10-30,12:52:21,Blue,Larah,A♦,Assist
2024-10-30,12:52:31,Green,Behring,6♣,Assist
2024-10-30,12:55:51,Green,Behring,8♥,Assist
2024-10-30,13:00:46,Blue,Russel,9♦,Assist
2024-10-30,13:04:15,Green,Behring,4♦,Assist
2024-10-30,13:07:56,Green,Mel,A♥,Assist
2024-10-29,12:17:05,Green,Larah,2♣,Assist
2024-10-29,12:17:24,Green,Larah,9♦,Assist
2024-10-29,12:20:25,Blue,Paul,2♥,Assist
2024-10-29,12:24:14,Blue,Paul,A♣,Assist
2024-10-29,12:31:02,Blue,Daniel,8♦,Assist
2024-10-29,12:31:51,Blue,Behring,5♠,Assist
2024-10-29,12:35:29,Green,Paul,J♠,Assist
2024-10-29,12:35:41,Blue,Maya,K♣,Assist
2024-10-29,12:38:09,Green,Paul,4♠,Assist
2024-10-29,12:43:43,Blue,Poonam,4♥,Assist
2024-10-29,12:49:28,Green,Mel,4♦,Assist
2024-10-29,12:56:10,Blue,Poonam,2♣,Assist
2024-10-29,12:59:21,Blue,Maya,A♥,Assist
2024-10-28,12:19:13,Blue,Kenji,Q♥,Assist
2024-10-28,12:22:49,Green,Daniel,8♥,Assist
2024-10-28,12:26:40,Green,Daniel,J♦,Assist
2024-10-28,12:36:17,Blue,Larah,A♥,Assist
2024-10-28,12:36:50,Green,Ghost,4♦,Assist
2024-10-28,12:40:27,Blue,Russel,8♦,Assist
2024-10-28,12:49:08,Blue,Larah,7♦,Assist
2024-10-28,12:51:35,Blue,Behring,7♦,Assist
2024-10-28,12:56:24,Blue,Larah,10♣,Assist
2024-10-28,13:03:59,Green,Ghost,3♦,Assist
2024-10-23,12:21:19,Green,Maya,10♥,Assist
2024-10-23,12:23:31,Blue,Mel,K♥,Assist
2024-10-23,12:23:54,Blue,Nishant,10♥,Assist
2024-10-23,12:38:43,Blue,Howard,5♥,Assist
2024-10-23,12:45:28,Blue,Howard,10♥,Assist
2024-10-23,12:51:30,Green,Behring,A♣,Assist
2024-10-23,13:02:42,Green,Mel,8♦,Assist
2024-10-22,12:17:04,Blue,Russel,K♠,Assist
2024-10-22,12:19:07,Green,Larah,K♥,Assist
2024-10-22,12:21:07,Blue,Russel,A♥,Assist
2024-10-22,12:36:19,Green,Paul,5♥,Assist
2024-10-22,12:45:30,Green,Larah,Q♣,Assist
2024-10-22,12:49:01,Green,Nishant,8♠,Assist
2024-10-22,12:49:41,Blue,Paul,6♥,Assist
2024-10-22,12:52:49,Blue,Russel,4♠,Assist
2024-10-22,13:05:02,Green,Nishant,A♥,Assist
2024-10-22,13:07:53,Green,Mel,Q♦,Assist
2024-10-21,12:15:37,Blue,Mel,8♠,Assist
2024-10-21,12:19:45,Blue,Mel,5♦,Assist
2024-10-21,12:29:47,Blue,Jose,9♣,Assist
2024-10-21,12:30:41,Blue,Behring,10♠,Assist
2024-10-21,12:34:58,Blue,Poonam,A♣,Assist
2024-10-21,12:36:56,Green,Paul,5♦,Assist
2024-10-21,12:37:25,Blue,Behring,Q♠,Assist
2024-10-21,12:40:26,Green,Kenji,4♥,Assist
2024-10-21,12:43:57,Blue,Larah,6♥,Assist
2024-10-21,12:44:29,Green,Paul,K♥,Assist
2024-10-21,12:48:53,Green,Jaemo,Q♥,Assist
2024-10-21,12:51:24,Green,Paul,Q♥,Assist
2024-10-21,12:54:39,Blue,Nishant,7♠,Assist
2024-10-21,13:01:55,Green,Ghost,10♣,Assist
2024-10-21,13:02:47,Green,Jaemo,3♥,Assist
2024-10-16,12:24:33,Blue,Jaemo,J♥,Assist
2024-10-16,12:31:43,Red,Howard,J♠,Assist
2024-10-16,12:39:56,Blue,Nishant,J♣,Assist
2024-10-16,12:44:27,Blue,Nishant,8♥,Assist
2024-10-16,12:59:11,Blue,Maya,9♣,Assist
2024-10-15,12:17:46,Blue,Mel,9♥,Assist
2024-10-15,12:20:01,Blue,Howard,6♠,Assist
2024-10-15,12:29:48,Green,Russel,10♣,Assist
2024-10-15,12:30:33,Blue,Mel,Q♠,Assist
2024-10-15,12:31:42,Blue,Poonam,2♣,Assist
2024-10-15,12:38:32,Blue,Poonam,4♥,Assist
2024-10-15,12:39:28,Blue,Poonam,4♥,Assist
2024-10-15,12:45:28,Blue,Howard,2♠,Assist
2024-10-15,12:47:12,Blue,Kenji,7♥,Assist
2024-10-15,12:50:54,Green,Larah,A♦,Assist
2024-10-15,12:52:55,Blue,Mel,2♥,Assist
2024-10-15,12:54:00,Green,Nishant,10♠,Assist
2024-10-15,12:55:59,Green,Nishant,10♠,Assist
2024-10-15,13:01:01,Blue,Kenji,5♥,Assist
2024-10-15,13:01:44,Blue,Andy,J♣,Assist
2024-10-14,12:18:29,Green,Russel,7♦,Assist
2024-10-14,12:30:16,Blue,Howard,10♥,Assist
2024-10-14,12:31:57,Blue,Mel,K♠,Assist
2024-10-14,12:35:45,Green,Nishant,2♣,Assist
2024-10-14,12:41:21,Blue,Russel,3♥,Assist
2024-10-14,12:41:56,Blue,Howard,7♣,Assist
2024-10-14,12:46:41,Blue,Russel,9♥,Assist
2024-10-14,12:47:42,Blue,Paul,8♦,Assist
2024-10-14,12:53:08,Blue,Howard,6♥,Assist
2024-10-14,12:54:20,Blue,Mel,J♣,Assist
2024-10-14,13:00:49,Green,Daniel,Q♠,Assist
2024-10-14,13:02:27,Blue,Jose,5♠,Assist
2024-10-14,13:07:59,Blue,Jose,4♣,Assist
2024-10-09,12:31:35,Green,Nishant,3♥,Assist
2024-10-09,12:36:49,Blue,Larah,K♣,Assist
2024-10-09,12:41:27,Blue,Howard,9♠,Assist
2024-10-09,12:47:55,Blue,Howard,Q♠,Assist
2024-10-09,12:48:49,Green,Russel,2♠,Assist
2024-10-09,12:53:29,Green,Nishant,8♥,Assist
2024-10-09,13:02:01,Blue,Ghost,4♥,Assist
2024-10-09,13:02:48,Green,Daniel,J♣,Assist
2024-10-09,13:03:23,Blue,Larah,K♣,Assist
2024-10-09,13:16:09,Green,Maya,J♣,Assist
2024-10-09,13:18:05,Blue,Howard,8♦,Assist
2024-10-09,13:21:05,Green,Maya,2♦,Assist
2024-10-08,12:23:26,Blue,Daniel,7♥,Assist
2024-10-08,12:29:52,Green,Behring,9♠,Assist
2024-10-08,12:32:31,Green,Howard,3♣,Assist
2024-10-08,12:37:34,Green,Behring,9♦,Assist
2024-10-08,12:39:13,Green,Behring,9♠,Assist
2024-10-08,12:39:40,Blue,Daniel,7♦,Assist
2024-10-08,12:45:04,Green,Mel,8♣,Assist
2024-10-08,12:45:41,Blue,Paul,7♦,Assist
2024-10-08,12:48:03,Green,Kenji,J♥,Assist
